customer_id,store,floor,timestamp
1,Gigatron,1,2024-12-01 09:30:00
2,KFC,2,2024-12-01 09:05:00
2,Philips,0,2024-12-01 09:37:00
2,Tehnomanija,0,2024-12-01 10:19:00
2,Mi,0,2024-12-01 10:51:00
3,XYZ,1,2024-12-01 09:10:00
3,Replay,0,2024-12-01 09:33:00
4,Tehnomanija,0,2024-12-01 09:01:00
4,DM,0,2024-12-01 09:37:00
4,Jasmin,0,2024-12-01 09:55:00
5,nSport,1,2024-12-01 09:23:00
5,Zara,1,2024-12-01 09:57:00
5,Superdry,1,2024-12-01 10:38:00
5,McDonalds,2,2024-12-01 11:16:00
6,Fashion Friends,1,2024-12-01 09:06:00
6,XYZ,1,2024-12-01 09:23:00
6,nFashion,0,2024-12-01 09:45:00
7,UnderArmour,0,2024-12-01 09:02:00
8,Lilly,1,2024-12-01 09:20:00
9,SportVision,0,2024-12-01 09:12:00
10,nSport,1,2024-12-01 09:15:00
10,Adidas,1,2024-12-01 09:33:00
10,Replay,0,2024-12-01 09:58:00
11,nSport,1,2024-12-01 09:19:00
11,AsianFood,2,2024-12-01 09:44:00
11,Adidas,1,2024-12-01 10:26:00
11,Sephora,1,2024-12-01 10:53:00
12,BurritoMadre,2,2024-12-01 09:21:00
13,Replay,0,2024-12-01 09:22:00
13,SportVision,0,2024-12-01 09:57:00
13,Philips,0,2024-12-01 10:30:00
13,Tehnomanija,0,2024-12-01 10:53:00
14,XYZ,1,2024-12-01 09:28:00
14,UnderArmour,0,2024-12-01 09:43:00
14,nSport,1,2024-12-01 10:11:00
15,Superdry,1,2024-12-01 09:13:00
15,Fashion Friends,1,2024-12-01 09:55:00
15,KFC,2,2024-12-01 10:31:00
16,Pull&Bear,0,2024-12-01 09:13:00
16,H&M,0,2024-12-01 09:49:00
16,Stradivarius,1,2024-12-01 10:30:00
17,nSport,1,2024-12-01 09:14:00
17,XYZ,1,2024-12-01 09:44:00
17,Jasmin,0,2024-12-01 10:03:00
17,Pull&Bear,0,2024-12-01 10:25:00
17,DM,0,2024-12-01 10:47:00
18,XYZ,1,2024-12-01 09:28:00
18,Adidas,1,2024-12-01 09:59:00
18,Superdry,1,2024-12-01 10:31:00
18,Zara,1,2024-12-01 11:07:00
18,Bershka,1,2024-12-01 11:32:00
19,Jasmin,0,2024-12-01 09:01:00
19,DM,0,2024-12-01 09:33:00
20,Philips,0,2024-12-01 09:13:00
